Date, Station, CAPE, CINS
 00Z 30 Aug 2015,  72293,  0.00,  0.00
 12Z 30 Aug 2015,  72293,  0.00,  0.00
 00Z 31 Aug 2015,  72293,  0.00,  0.00
 12Z 31 Aug 2015,  72293,  0.00,  0.00
 00Z 01 Sep 2015,  72293,  0.00,  0.00
 12Z 01 Sep 2015,  72293,  2.56,  0.00
 00Z 02 Sep 2015,  72293,  0.00,  0.00
 12Z 02 Sep 2015,  72293,  1.51,  -0.19
 00Z 03 Sep 2015,  72293,  0.00,  0.00
 12Z 03 Sep 2015,  72293,  0.00,  0.00
 00Z 04 Sep 2015,  72293,  0.00,  0.00
 12Z 04 Sep 2015,  72293,  11.37,  0.00
 00Z 05 Sep 2015,  72293,  0.00,  0.00
 12Z 05 Sep 2015,  72293,  0.33,  -0.01
 00Z 06 Sep 2015,  72293,  0.00,  0.00
 12Z 06 Sep 2015,  72293,  0.00,  0.00
 00Z 07 Sep 2015,  72293,  0.00,  0.00
 12Z 07 Sep 2015,  72293,  0.00,  0.00
 00Z 08 Sep 2015,  72293,  25.17,  -524.88
 12Z 08 Sep 2015,  72293,  1.55,  -779.99
 00Z 09 Sep 2015,  72293,  76.06,  -582.64
 12Z 09 Sep 2015,  72293,  79.15,  -533.19
