Date,            Station,Showalter, Lifed, LIFT, SWEAT,    K,     TT,CAPE, CINS,Equilibrum,LFCT, CAPV,Temp K, PW 
12:00 18 Mar 2015,  72293,  2.49,  -1.84,  -1.91,  34.41,  21.50,  48.60,  204.67,  0.00,  443.74,  957.93,  18.74,  287.15,  22.86  
00:00 19 Mar 2015,  72293,  2.95,  -0.79,  -0.86,  18.98,  23.30,  48.00,  177.80,  -201.17,  392.63,  709.95,  144.18,  283.42,  19.71  
12:00 19 Mar 2015,  72293,  4.53,  0.78,  0.68,  24.98,  22.30,  45.20,  41.35,  -0.01,  524.13,  940.01,  5.54,  285.04,  23.37  
00:00 20 Mar 2015,  72293,  -0.59,  -1.51,  -1.66,  155.99,  31.30,  53.80,  122.70,  -284.48,  321.66,  589.85,  3.72,  283.98,  22.46  
12:00 20 Mar 2015,  72293,  2.06,  -0.03,  -0.30,  65.00,  9.70,  49.00,  29.36,  0.00,  495.35,  963.89,  0.69,  286.35,  16.00  
00:00 21 Mar 2015,  72293,  4.36,  1.40,  1.11,  64.01,  16.70,  43.80,  0.00,  0.00,  0.00,  279.33,  13.43  
12:00 21 Mar 2015,  72293,  9.55,  3.06,  2.78,  35.00,  -19.50,  29.60,  0.00,  0.00,  0.00,  285.82,  11.18  
00:00 22 Mar 2015,  72293,  10.53,  1.40,  1.14,  48.99,  -28.50,  26.40,  0.00,  0.00,  0.00,  283.03,  9.98  
12:00 22 Mar 2015,  72293,  12.53,  7.43,  7.35,  48.99,  -14.50,  24.40,  0.04,  0.00,  940.16,  952.76,  0.00,  283.94,  13.43  
00:00 23 Mar 2015,  72293,  12.86,  6.91,  6.70,  51.98,  -15.30,  24.80,  0.00,  0.00,  0.00,  281.02,  12.12  
12:00 23 Mar 2015,  72293,  15.32,  6.66,  6.46,  70.01,  -28.70,  10.60,  1.72,  -3.67,  889.82,  919.30,  0.03,  283.58,  11.55  
00:00 24 Mar 2015,  72293,  10.80,  7.27,  7.15,  57.98,  -3.30,  31.80,  0.00,  0.00,  0.00,  277.57,  11.44  
12:00 24 Mar 2015,  72293,  8.60,  7.11,  6.93,  84.01,  -9.90,  36.20,  0.00,  0.00,  0.00,  283.33,  14.85  
00:00 25 Mar 2015,  72293,  10.95,  7.84,  7.60,  63.01,  2.30,  31.60,  0.00,  0.00,  0.00,  280.48,  15.39  
12:00 25 Mar 2015,  72293,  6.76,  6.73,  6.79,  38.99,  8.50,  39.80,  0.00,  0.00,  0.00,  281.48,  19.43  
00:00 26 Mar 2015,  72293,  4.32,  5.57,  5.38,  40.99,  16.10,  43.60,  0.00,  0.00,  0.00,  274.84,  14.58  
12:00 26 Mar 2015,  72293,  8.55,  8.15,  7.99,  40.99,  -10.50,  34.60,  0.00,  0.00,  0.00,  270.95,  9.16  
00:00 27 Mar 2015,  72293,  6.44,  7.35,  7.18,  31.99,  -6.30,  38.40,  0.00,  0.00,  0.00,  266.15,  9.60  
12:00 27 Mar 2015,  72293,  6.47,  8.43,  8.33,  10.00,  -6.10,  38.80,  0.00,  0.00,  0.00,  270.05,  10.82  
00:00 28 Mar 2015,  72293,  6.62,  5.08,  4.85,  12.98,  -8.90,  37.80,  0.00,  0.00,  0.00,  272.49,  9.73  
12:00 28 Mar 2015,  72293,  6.52,  6.88,  6.66,  17.99,  -8.50,  39.00,  0.00,  0.00,  0.00,  278.01,  9.93  
00:00 29 Mar 2015,  72293,  7.11,  6.83,  6.61,  18.01,  -11.50,  36.20,  0.00,  0.00,  0.00,  272.14,  9.14  
12:00 29 Mar 2015,  72293,  9.06,  4.98,  4.75,  17.00,  -20.50,  32.20,  0.00,  0.00,  0.00,  282.31,  10.96  
00:00 30 Mar 2015,  72293,  9.04,  0.12,  -0.25,  23.00,  -19.50,  28.80,  110.40,  -576.06,  337.24,  523.61,  15.97,  282.40,  9.71  
12:00 30 Mar 2015,  72293,  8.17,  5.88,  5.70,  10.98,  -16.50,  33.60,  0.00,  0.00,  0.00,  280.18,  9.91  
00:00 31 Mar 2015,  72293,  10.24,  2.81,  2.50,  32.01,  -23.50,  22.40,  0.00,  0.00,  0.00,  281.36,  8.62  
12:00 31 Mar 2015,  72293,  11.43,  7.56,  7.38,  27.00,  -8.30,  26.00,  0.00,  0.00,  0.00,  281.44,  11.02
  
00:00 01 Apr 2015,  72293,  12.35,  3.56,  3.23,  40.99,  -15.30,  24.00,  0.00,  0.00,  0.00,  285.58,  12.08  
12:00 01 Apr 2015,  72293,  7.28,  7.48,  7.28,  56.00,  -17.70,  39.00,  2.27,  0.00,  917.12,  941.27,  0.05,  283.38,  10.85  
00:00 02 Apr 2015,  72293,  11.68,  2.63,  2.32,  57.98,  -31.90,  19.40,  0.00,  0.00,  0.00,  283.83,  10.11  
